UWI,START_DATE,OIL,GAS,WATER
YP785,2008-03-01,75198,37747,8359
AB456,2008-03-01,46256,41397,0
ON120,2008-03-01,53449,41832,102
AB590,2008-03-01,12330,6601,282
RK539,2008-03-01,39223,24039,13
TR811,2008-03-01,59516,41709,477
CC766,2008-03-01,43035,17833,3520
TR382,2008-03-01,28845,33498,15027
TR376,2008-03-01,53427,14804,0
AB559,2008-03-01,46796,26416,6820
TR135,2008-03-01,42055,18275,244
TR235,2008-03-01,15142,12618,249
AB460,2008-03-01,50285,23073,0
BR164,2008-03-01,29406,19164,184
TR855,2008-03-01,26943,16541,225
TF770,2008-03-01,32180,22188,336
YP355,2008-03-01,14825,8735,799
TR387,2008-03-01,55065,31607,0
TR336,2008-03-01,28299,15537,171
TR507,2008-03-01,67803,41238,12266
CC643,2008-03-01,30715,15190,348
YP577,2008-03-01,24094,18649,5259
TF267,2008-03-01,27675,35043,1931
RK403,2008-03-01,30966,12183,0
ON463,2008-03-01,30212,27028,40
CC374,2008-03-01,31800,22691,778
TR235,2008-03-01,19197,7587,891
DS150,2008-03-01,57905,37908,3910
RK279,2008-03-01,41528,25879,1664
TR331,2008-03-01,46941,61127,0
DS496,2008-03-01,47450,29258,0
TR376,2008-04-01,46342,14371,0
AB540,2008-04-01,14005,5675,436
YP693,2008-04-01,35690,30823,7042
BR273,2008-04-01,62736,50011,13783
TR331,2008-04-01,23840,18635,0
TF410,2008-04-01,36766,20952,81
YP181,2008-04-01,16463,9053,5720
AB513,2008-04-01,21675,9449,671
RK301,2008-04-01,41302,44595,148
CC865,2008-04-01,36595,34919,26613
CC504,2008-04-01,45508,27180,1126
CC142,2008-04-01,65706,45271,87
YP471,2008-04-01,36326,22305,42
TR797,2008-04-01,80831,69163,0
TF585,2008-04-01,37263,24051,7
TF642,2008-04-01,42501,22364,1564
TR418,2008-04-01,83875,52500,95
YP821,2008-04-01,49848,19561,97
TR387,2008-04-01,39859,37403,0
TF267,2008-04-01,51642,55205,4467
DS150,2008-04-01,40166,20710,4803
DS684,2008-04-01,28666,21616,0
RK318,2008-04-01,55734,34916,7743
TF611,2008-04-01,54919,47319,21
YP577,2008-04-01,19256,9913,4508
DS558,2008-04-01,24575,17301,739
ON308,2008-04-01,31944,20008,123
RK302,2008-04-01,22939,18450,0
TF407,2008-04-01,58752,49158,1625
DS884,2008-04-01,20167,13240,3044
TF222,2008-04-01,26830,21710,2895
DS780,2008-04-01,56022,41626,1545
DS887,2008-04-01,67654,43277,9424
ON231,2008-04-01,68130,60755,11038
