UWI,START_DATE,OIL,GAS,WATER
ON369,1975-11-01,267169,223860,0
DS652,1975-12-01,638084,670530,0
TF267,1975-12-01,426100,263250,0
YP676,1975-12-01,389027,365650,0
TR758,1975-12-01,587894,554830,0
TF740,1975-12-01,389855,361800,0
BR819,1975-12-01,283024,226800,0
CC482,1975-12-01,404369,378100,0
TF695,1975-12-01,336434,217600,0
AB494,1975-12-01,523096,424200,0
RK403,1975-12-01,329758,292500,0
ON397,1975-12-01,546725,525980,0
BR704,1975-12-01,495279,394020,0
BR710,1975-12-01,445927,395100,0
TF335,1975-12-01,315510,356160,0
RK345,1975-12-01,520895,447330,0
YP570,1975-12-01,187569,155100,0
DS241,1975-12-01,436481,448110,0
CC782,1975-12-01,610159,477000,0
ON394,1975-12-01,131227,163800,0
CC504,1975-12-01,70263,67260,0
AB742,1975-12-01,753536,751000,0
YP181,1975-12-01,468973,340300,0
TF267,1975-12-01,537613,0,0
CC636,1975-12-01,481099,507370,0
TF695,1975-12-01,48676,36630,0
TF740,1975-12-01,693758,446160,0
TF359,1975-12-01,195907,150660,0
AB257,1975-12-01,502506,379040,0
TR791,1975-12-01,221085,245440,0
RK345,1976-01-01,511090,312000,0
CC482,1976-01-01,234422,169260,0
YP181,1976-01-01,218933,252720,0
CC504,1976-01-01,21508,21340,0
ON397,1976-01-01,45683,39390,0
AB494,1976-01-01,715822,493640,0
TF359,1976-01-01,487472,434340,0
DS698,1976-01-01,197475,147000,0
CC782,1976-01-01,162456,176580,0
DS698,1976-01-01,122686,72090,0
CC636,1976-01-01,618544,617390,0
BR819,1976-01-01,489814,496160,0
BR312,1976-01-01,128759,144560,0
BR704,1976-01-01,3517,2180,0
DS241,1976-01-01,405277,419440,0
TF740,1976-01-01,399718,443300,0
TR791,1976-01-01,346500,368280,0
TF695,1976-01-01,446930,371680,0
BR710,1976-01-01,389868,334640,0
AB742,1976-01-01,703680,661640,0
AB257,1976-01-01,505436,519800,0
YP570,1976-01-01,273743,328440,0
ON394,1976-01-01,501642,402840,0
DS652,1976-01-01,777110,527160,0
TF695,1976-01-01,378974,286620,0
CC782,1976-01-01,489661,506220,0
TF335,1976-01-01,555026,511710,0
ON369,1976-01-01,8036,7760,0
TF267,1976-01-01,551518,0,0
YP676,1976-01-01,228222,267860,0
RK403,1976-01-01,388662,459200,0
TR758,1976-01-01,386660,474950,0
TF267,1976-01-01,140115,114840,0
TF740,1976-01-01,627256,508860,0
ON394,1976-02-01,394041,303630,0
DS652,1976-02-01,606748,652120,0
YP570,1976-02-01,166363,177480,0
BR819,1976-02-01,479262,470080,0
CC482,1976-02-01,87084,93790,0
YP181,1976-02-01,227504,214110,0
DS698,1976-02-01,189836,229320,0
ON397,1976-02-01,144804,109650,0
TF740,1976-02-01,474417,319500,0
TR791,1976-02-01,261269,297190,0
TF695,1976-02-01,297583,287120,0
AB257,1976-02-01,479753,416970,0
TF359,1976-02-01,624905,548050,0
DS241,1976-02-01,428789,505440,0
BR312,1976-02-01,266514,296400,0
TF267,1976-02-01,135339,102900,0
TF267,1976-02-01,542408,485100,0
AB494,1976-02-01,651946,546360,0
TF695,1976-02-01,515347,496800,0
YP676,1976-02-01,278453,288650,0
TF740,1976-02-01,587220,463310,0
CC782,1976-02-01,488595,579530,0
DS698,1976-02-01,305817,313040,0
RK403,1976-02-01,376879,298350,0
CC782,1976-02-01,287036,211650,0
CC636,1976-02-01,624222,519480,0
RK345,1976-02-01,234410,182970,0
ON369,1976-02-01,9329,9990,0
BR710,1976-02-01,353325,317900,0
TF335,1976-02-01,396337,432000,0
AB742,1976-02-01,445786,330880,0
TR758,1976-02-01,435868,298150,0
CC782,1976-03-01,557193,438480,0
TF695,1976-03-01,528129,382700,0
TR791,1976-03-01,392140,356400,0
TR758,1976-03-01,522130,406850,0
AB742,1976-03-01,921726,773920,0
TF359,1976-03-01,529328,413280,0
YP676,1976-03-01,338543,237630,0
DS241,1976-03-01,531513,498130,0
DS698,1976-03-01,317619,294400,0
RK403,1976-03-01,281943,268660,0
TF267,1976-03-01,386983,374400,0
CC504,1976-03-01,41911,39440,0
TF695,1976-03-01,439192,269640,0
BR710,1976-03-01,483345,374360,0
ON394,1976-03-01,412456,390550,0
ON397,1976-03-01,338068,345000,0
